time / s, distance / mm, clockwise rotation / Â°
9.010999999999999, 549, 0
11.608, 0, 158
22.029, 688, 0
23.79, 0, 77
27.309, -2, 0
30.088, 0, 176
35.139, 151, 0
37.573, 0, 142
60.419, 1932, 0
63.078, 0, 164
72.699, 608, 0
74.15900000000001, 0, 52
78.18899999999999, 49, 0
79.789, 0, 63
123.916, 4060, 0
125.988, 0, 105
136.63, 709, 0
138.789, 0, 114
164.461, 2214, 0
167.027, 0, 155
191.135, 2057, 0
192.941, 0, 80
197.291, 80, 0
199.89, 0, 158
220.61, 1719, 0
222.069, 0, 52
226.509, 90, 0
229.269, 0, 175
234.019, 121, 0
235.949, 0, 91
251.685, 1220, 0
253.817, 0, 112
271.369, 1401, 0
273.439, 0, 105
293.338, 1636, 0
295.308, 0, 95
